1,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/06/2-1-1-Sonoma-Application-Form-2019.doc","211 Sonoma County Service Provider Application"
2,"mailto:211sonoma@icfs.org","211 Sonoma Email Address"
3,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/10/2-1-1-Sonoma-County-Inclusion-Exclusion-Policy.pdf","211 Sonoma County Inclusion/Exclusion Policy"
4,"https://app.powerbi.com/view?r=eyJrIjoiMDczOTczYzQtYWZkNS00OTNlLWFjZDAtYzljYWNmMTg2NjUxIiwidCI6ImI4NTFhY2ZmLTM5ODgtNDY1OC04OWVhLWJmM2M3NmRkZTlhNiIsImMiOjZ9","211 Sonoma Statistics"
5,"https://unitedwaywinecountry.org/","Invest in Our Communities / Local Support for COVID 19"
6,"http://www.211.org/","211.org"
7,"https://www.fcc.gov/consumers/guides/dial-211-essential-community-services","Dial 211 for Essential Community Services | Federal Communications Commission"
8,"https://rocsonomacounty.org/","ROC Sonoma County Fire Recovery"
9,"https://www.211ca.org/search/?taxonomyCode=BH-3800.7000&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: TEMPORADA DE COMPARTIR AYUDA PARA LA SOLICITUD"
10,"http://benefitkitchen.com/icfs","Benefit Kitchen"
11,"https://www.211ca.org/search/?taxonomyCode=ND-1500&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: CAPACITACIÓN DE EMPLEO DE ANTHONY SOTO"
12,"https://www.211ca.org/search/?taxonomyCode=RX-8250.0500&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: RECURSOS COMUNITARIOS DE MONTAÑA (MCR)"
13,"http://recorder.countyofventura.org/county-recorder/vital-records/","Ventura County Vital Records "
14,"https://www.ssa.gov/ssnumber/","Social Security Number and Card | SSA"
15,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2015/03/72-hour-checklist.pdf","Interface Children & Family Services | 72 hour checklist"
16,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2016/02/Top_10_Things_You_Can_Do_for_a_Successful_Reentry_into_the_Community.pdf","Interface Children & Family Services | Top 10 Things You Can Do for a
Successful Reentry into the Community"
17,"https://www.211ca.org/search/?taxonomyCode=PS-6500&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: YMCA OUTDOOR EDUCATION PROGRAMS"
18,"https://www.211ca.org/search/?taxonomyCode=PH-1400.5000-100&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: SONOMA COUNTY 4-H"
19,"https://www.211ca.org/search/?taxonomyCode=TC-5500.8000&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: WINDSOR SENIOR CENTER"
20,"https://211sonoma.org/education/","211 Education"
21,"https://www.211ca.org/search/?taxonomyCode=DF-7000.1200&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: OFICINA DEL SECRETARIO Y REGISTRADOR DEL CONDADO"
22,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2019/07/Que-hacer-Sonoma-1-2.pdf","Qué hacer en las primeras 72 horas"
23,"http://sonomacounty.ca.gov/Probation/","Probation | Departments & Agencies | County of Sonoma"
24,"https://sonomacounty.ca.gov/CRA/Clerk-Recorder/Vital-Records/Birth-Certificates/","Birth Certificates | Clerk - Recorder - Assessor - Registrar of Voters | County of Sonoma"
25,"https://www.dmv.ca.gov/portal/dmv/detail/dl/dl_info","Driver License or ID Card Renewal - California DMV"
26,"https://www.cdc.gov/nchs/w2w/index.htm","Where to Write for Vital Records - CDC"
27,"https://www.211ca.org/search/?taxonomyCode=BT-4500.6500-280&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: VIAJES MÉDICOS ESPECIALES"
28,"https://sonomacounty.ca.gov/Human-Services/Economic-Assistance/Health-Care-Benefits/Medi-Cal-and-County-Medical-Services-Program/","Medi-Cal & County Medical Services Program "
29,"https://www.coveredca.com/","Covered California | Health Insurance Marketplace"
30,"https://www.dfeh.ca.gov/Employment/","Employment Discrimination"
31,"http://sonomacounty.ca.gov/Human-Services/Employment-and-Training/SonomaWORKS/","County of Sonoma | SonomaWORKS "
32,"https://sonomacounty.ca.gov/Human-Services/Economic-Assistance/General-Assistance/","County of Sonoma | General Assistance Benefits "
33,"https://www.ssa.gov/benefits/ssi/","Supplemental Security Income (SSI) Benefits | SSA"
34,"https://www.ssa.gov/benefits/disability/","Disability Benefits | SSA"
35,"https://www.ssa.gov/espanol/beneficios/ssi/","Seguridad de Ingreso Suplementario (SSI) | Administración del Seguro Social"
36,"https://www.acf.hhs.gov/sites/default/files/programs/css/ca_cs_order.pdf","Changing a Child Support Order in Your State"
37,"https://home.cccapply.org/money/california-college-promise-grant","California College Promise Grant"
38,"https://studentaid.ed.gov/","Federal student aid"
39,"https://www.211ca.org/search/?taxonomyCode=HH-0500.2500-050&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: CENTRO DE EDUCACIÓN DE ADULTOS DE PITTSBURG"
40,"https://www.211ca.org/search/?taxonomyCode=HH-4500.0500&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: SERVICIOS DE BIBLIOTECA"
